CMDLINE python main.py
MEM 97.375000 1776031883.5022
MEM 97.375000 1776031883.6076
MEM 97.375000 1776031883.7128
MEM 97.375000 1776031883.8150
MEM 97.375000 1776031883.9179
MEM 97.375000 1776031884.0214
MEM 97.375000 1776031884.1268
MEM 97.375000 1776031884.2323
MEM 97.375000 1776031884.3377
MEM 97.375000 1776031884.4382
MEM 97.375000 1776031884.5387
MEM 97.375000 1776031884.6441
MEM 97.375000 1776031884.7448
MEM 97.375000 1776031884.8470
MEM 97.375000 1776031884.9513
MEM 97.375000 1776031885.0534
MEM 97.375000 1776031885.1555
MEM 97.375000 1776031885.2575
MEM 97.375000 1776031885.3623
MEM 97.375000 1776031885.4677
MEM 97.375000 1776031885.5731
MEM 97.375000 1776031885.6737
MEM 97.375000 1776031885.7791
MEM 97.375000 1776031885.8846
MEM 97.484375 1776031885.9890
MEM 97.484375 1776031886.0928
MEM 97.484375 1776031886.1983
MEM 97.484375 1776031886.3021
MEM 97.484375 1776031886.4077
MEM 97.484375 1776031886.5116
MEM 97.484375 1776031886.6164
MEM 97.484375 1776031886.7219
MEM 97.484375 1776031886.8274
MEM 97.484375 1776031886.9292
MEM 97.484375 1776031887.0322
MEM 97.484375 1776031887.1375
MEM 97.484375 1776031887.2417
MEM 97.484375 1776031887.3472
MEM 97.484375 1776031887.4482
MEM 97.484375 1776031887.5509
MEM 97.484375 1776031887.6562
MEM 97.484375 1776031887.7617
MEM 97.484375 1776031887.8670
MEM 97.484375 1776031887.9734
MEM 97.484375 1776031888.0779
MEM 97.484375 1776031888.1824
MEM 97.484375 1776031888.2879
MEM 97.484375 1776031888.3934
MEM 97.484375 1776031888.4981
MEM 97.484375 1776031888.6035
MEM 97.484375 1776031888.7044
MEM 97.484375 1776031888.8083
MEM 97.484375 1776031888.9123
MEM 97.484375 1776031889.0178
MEM 97.484375 1776031889.1228
MEM 97.484375 1776031889.2261
MEM 97.484375 1776031889.3314
MEM 97.484375 1776031889.4367
MEM 97.484375 1776031889.5413
MEM 97.484375 1776031889.6449
MEM 97.484375 1776031889.7497
MEM 97.484375 1776031889.8549
MEM 97.484375 1776031889.9603
MEM 97.484375 1776031890.0658
MEM 97.484375 1776031890.1713
MEM 97.484375 1776031890.2718
MEM 97.484375 1776031890.3772
MEM 97.484375 1776031890.4822
MEM 97.484375 1776031890.5869
MEM 97.484375 1776031890.6923
MEM 97.484375 1776031890.7957
MEM 97.484375 1776031890.9012
MEM 97.484375 1776031891.0047
MEM 97.484375 1776031891.1102
MEM 97.437500 1776031891.2122
MEM 97.437500 1776031891.3164
MEM 97.437500 1776031891.4213
MEM 97.437500 1776031891.5233
MEM 97.437500 1776031891.6256
MEM 97.437500 1776031891.7310
MEM 97.437500 1776031891.8328
MEM 97.437500 1776031891.9383
MEM 97.437500 1776031892.0437
MEM 97.437500 1776031892.1482
MEM 97.437500 1776031892.2539
MEM 97.437500 1776031892.3593
MEM 97.437500 1776031892.4637
MEM 97.437500 1776031892.5663
MEM 97.437500 1776031892.6687
MEM 97.437500 1776031892.7713
MEM 97.437500 1776031892.8757
MEM 97.437500 1776031892.9801
MEM 97.437500 1776031893.0823
MEM 97.437500 1776031893.1876
