CMDLINE python main.py
MEM 0.609375 1776031340.5272
MEM 31.296875 1776031340.6289
MEM 44.390625 1776031340.7340
MEM 59.125000 1776031340.8392
MEM 97.078125 1776031340.9443
MEM 108.515625 1776031341.0475
MEM 110.250000 1776031341.1528
MEM 110.156250 1776031341.2579
MEM 110.140625 1776031341.3631
MEM 110.078125 1776031341.4682
MEM 110.093750 1776031341.5733
MEM 109.906250 1776031341.6785
MEM 105.687500 1776031341.7888
MEM 104.031250 1776031341.8935
MEM 103.843750 1776031342.0186
MEM 103.281250 1776031342.1861
MEM 103.203125 1776031342.2903
MEM 101.703125 1776031342.3955
MEM 101.937500 1776031342.5005
MEM 101.968750 1776031342.6058
MEM 101.968750 1776031342.7098
MEM 101.968750 1776031342.8124
MEM 101.968750 1776031342.9144
MEM 100.640625 1776031343.0186
MEM 100.640625 1776031343.1209
MEM 100.578125 1776031343.2216
MEM 100.562500 1776031343.3254
MEM 100.562500 1776031343.4264
MEM 100.562500 1776031343.5316
MEM 100.593750 1776031343.6369
MEM 100.593750 1776031343.7422
MEM 100.593750 1776031343.8448
MEM 100.593750 1776031343.9502
MEM 100.593750 1776031344.0516
MEM 100.593750 1776031344.1548
MEM 100.593750 1776031344.2574
MEM 100.593750 1776031344.3603
MEM 100.593750 1776031344.4654
MEM 100.593750 1776031344.5707
MEM 100.593750 1776031344.6756
MEM 100.593750 1776031344.7815
MEM 100.593750 1776031344.8843
MEM 100.593750 1776031344.9874
MEM 100.593750 1776031345.0902
MEM 100.593750 1776031345.1920
MEM 100.593750 1776031345.2970
MEM 100.593750 1776031345.3998
MEM 100.593750 1776031345.5050
MEM 100.609375 1776031345.6102
MEM 102.593750 1776031345.7121
MEM 102.625000 1776031345.8174
MEM 102.625000 1776031345.9224
MEM 102.609375 1776031346.0279
MEM 102.609375 1776031346.1312
MEM 102.609375 1776031346.2335
MEM 102.609375 1776031346.3341
MEM 102.609375 1776031346.4393
MEM 102.609375 1776031346.5444
MEM 102.609375 1776031346.6500
MEM 102.609375 1776031346.7536
MEM 102.609375 1776031346.8586
MEM 102.609375 1776031346.9641
MEM 102.609375 1776031347.0673
MEM 102.609375 1776031347.1728
MEM 102.609375 1776031347.2782
MEM 102.609375 1776031347.3812
MEM 102.609375 1776031347.4837
MEM 102.609375 1776031347.5888
MEM 102.609375 1776031347.6941
MEM 102.609375 1776031347.7997
MEM 102.609375 1776031347.9051
MEM 102.609375 1776031348.0085
MEM 102.609375 1776031348.1140
MEM 102.609375 1776031348.2184
MEM 102.609375 1776031348.3209
MEM 102.609375 1776031348.4261
MEM 102.609375 1776031348.5312
MEM 102.609375 1776031348.6363
MEM 102.609375 1776031348.7417
MEM 102.609375 1776031348.8472
MEM 102.609375 1776031348.9526
MEM 102.609375 1776031349.0580
MEM 102.609375 1776031349.1624
MEM 102.609375 1776031349.2636
MEM 102.609375 1776031349.3642
MEM 102.609375 1776031349.4693
MEM 102.609375 1776031349.5712
MEM 102.609375 1776031349.6767
MEM 102.609375 1776031349.7781
MEM 102.609375 1776031349.8834
MEM 102.609375 1776031349.9889
MEM 102.609375 1776031350.0932
MEM 102.609375 1776031350.1980
MEM 102.609375 1776031350.3035
MEM 102.609375 1776031350.4086
MEM 102.609375 1776031350.5137
MEM 102.609375 1776031350.6188
MEM 102.609375 1776031350.7242
MEM 102.609375 1776031350.8293
MEM 102.671875 1776031350.9315
MEM 102.671875 1776031351.0370
MEM 102.671875 1776031351.1421
MEM 102.671875 1776031351.2448
MEM 102.671875 1776031351.3484
MEM 102.671875 1776031351.4535
MEM 102.625000 1776031351.5586
MEM 102.625000 1776031351.6639
MEM 102.625000 1776031351.7682
MEM 102.625000 1776031351.8737
MEM 102.687500 1776031351.9742
MEM 102.687500 1776031352.0792
MEM 102.687500 1776031352.1846
MEM 102.687500 1776031352.2885
MEM 102.687500 1776031352.3927
MEM 102.687500 1776031352.4979
